instant,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_hour,yr_hour,mnth_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_type
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,0,1,0,6,0,1,0.3441666666666667,0.36362500000000003,0.8058333333333333,0.16044583333333332,331,654,985,Weekend
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,1,0,1,0,0,0,2,0.3634782608695652,0.35373913043478256,0.696086956521739,0.24853913043478262,131,670,801,Weekend
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1,0,1,0,1,1,1,0.19636363636363638,0.18940454545454546,0.43727272727272726,0.2483090909090909,120,1229,1349,Working Day
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1,0,1,0,2,1,1,0.19999999999999998,0.21212173913043478,0.5904347826086956,0.16029565217391303,108,1454,1562,Working Day
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1,0,1,0,3,1,1,0.22695652173913042,0.2292695652173913,0.43695652173913047,0.1869,82,1518,1600,Working Day
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1,0,1,0,4,1,1,0.20434782608695654,0.23320869565217392,0.5182608695652174,0.08956521739130435,88,1518,1606,Working Day
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1,0,1,0,5,1,2,0.1965217391304348,0.2088391304347826,0.498695652173913,0.16872608695652175,148,1362,1510,Working Day
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1,0,1,0,6,0,2,0.165,0.16225416666666667,0.5358333333333333,0.2668041666666667,68,891,959,Weekend
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,1,0,1,0,0,0,1,0.13833333333333334,0.11617499999999999,0.43416666666666665,0.36195,54,768,822,Weekend
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1,0,1,0,1,1,1,0.15083333333333335,0.1508875,0.48291666666666666,0.2232666666666667,41,1280,1321,Working Day
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,1,0,1,0,2,1,1,0.1690909090909091,0.19146363636363636,0.6863636363636364,0.12213181818181819,43,1220,1263,Working Day
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1,0,1,0,3,1,2,0.17272727272727273,0.16047272727272727,0.5995454545454545,0.30462727272727275,25,1137,1162,Working Day
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,1,0,1,0,4,1,1,0.165,0.15088333333333334,0.47041666666666665,0.301,38,1368,1406,Working Day
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1,0,1,0,5,1,1,0.16086956521739132,0.18841304347826088,0.5378260869565217,0.12654782608695653,54,1367,1421,Working Day
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,1,0,1,0,6,0,1,0.2333333333333333,0.24811249999999999,0.49875,0.1579625,222,1026,1248,Weekend
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1,0,1,0,0,0,1,0.2316666666666667,0.23421666666666666,0.48374999999999996,0.18843333333333334,251,953,1204,Weekend
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1,0,1,1,1,0,2,0.1758333333333333,0.17677083333333332,0.5375,0.19401666666666664,117,883,1000,Holiday
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,1,0,1,0,2,1,2,0.21666666666666667,0.2323333333333333,0.8616666666666667,0.14677500000000002,9,674,683,Working Day
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,1,0,1,0,3,1,2,0.29217391304347823,0.2984217391304348,0.7417391304347826,0.20831739130434782,78,1572,1650,Working Day
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1,0,1,0,4,1,1,0.26166666666666666,0.25505,0.5383333333333333,0.19590416666666666,83,1844,1927,Working Day
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1,0,1,0,5,1,2,0.1775,0.15783333333333333,0.45708333333333334,0.3532416666666667,75,1468,1543,Working Day
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,1,0,1,0,6,0,1,0.0591304347826087,0.07906956521739131,0.39999999999999997,0.1719695652173913,93,888,981,Weekend
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,1,0,1,0,0,0,1,0.0965217391304348,0.09883913043478261,0.43652173913043474,0.2466,150,836,986,Weekend
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,1,0,1,0,1,1,1,0.0973913043478261,0.11793043478260869,0.4917391304347826,0.1583304347826087,86,1330,1416,Working Day
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1,0,1,0,2,1,2,0.2234782608695652,0.23452608695652175,0.6169565217391304,0.12979565217391303,186,1799,1985,Working Day
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,1,0,1,0,3,1,2,0.2175,0.2036,0.8625,0.29385,34,472,506,Working Day
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.11383750000000001,15,416,431,Working Day
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,1,0,1,0,5,1,2,0.2034782608695652,0.22331739130434783,0.7930434782608696,0.1233,38,1129,1167,Working Day
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,1,0,1,0,6,0,1,0.19652173913043477,0.21212608695652174,0.6517391304347826,0.14536521739130434,123,975,1098,Weekend
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1,0,1,0,0,0,1,0.2165217391304348,0.25032173913043476,0.7221739130434782,0.07398260869565218,140,956,1096,Weekend
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1,0,1,0,1,1,2,0.18083333333333332,0.18625,0.60375,0.18719166666666667,42,1459,1501,Working Day
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1,0,2,0,2,1,2,0.19217391304347825,0.23453043478260868,0.8295652173913044,0.05321304347826087,47,1313,1360,Working Day
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1,0,2,0,3,1,3,0.26,0.2544166666666667,0.7754166666666666,0.2643083333333333,72,1454,1526,Working Day
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,1,0,2,0,4,1,1,0.18695652173913044,0.1778782608695652,0.43782608695652175,0.27775217391304347,61,1489,1550,Working Day
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1,0,2,0,5,1,2,0.21130434782608698,0.22858695652173913,0.5852173913043479,0.12783913043478262,88,1620,1708,Working Day
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,1,0,2,0,6,0,2,0.2333333333333333,0.24305833333333335,0.9291666666666667,0.16107916666666666,100,905,1005,Weekend
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1,0,2,0,0,0,1,0.28583333333333333,0.2916708333333333,0.5683333333333334,0.1418,354,1269,1623,Weekend
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1,0,2,0,1,1,1,0.27166666666666667,0.3036583333333333,0.7383333333333333,0.045408333333333335,120,1592,1712,Working Day
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1,0,2,0,2,1,2,0.22083333333333333,0.19824583333333334,0.5379166666666667,0.36195,64,1466,1530,Working Day
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1,0,2,0,3,1,1,0.13478260869565217,0.14428260869565215,0.4947826086956522,0.18883913043478262,53,1552,1605,Working Day
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,1,0,2,0,4,1,3,0.14434782608695654,0.14954782608695652,0.4373913043478261,0.22193478260869565,47,1491,1538,Working Day
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1,0,2,0,5,1,1,0.1890909090909091,0.2135090909090909,0.5063636363636363,0.10855000000000001,149,1597,1746,Working Day
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,1,0,2,0,6,0,1,0.2225,0.23295416666666666,0.5441666666666667,0.20336666666666667,288,1184,1472,Weekend
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,1,0,2,0,0,0,1,0.3165217391304348,0.32411304347826086,0.45739130434782604,0.26088260869565216,397,1192,1589,Weekend
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1,0,2,0,1,1,1,0.41500000000000004,0.39835,0.3758333333333333,0.4179083333333333,208,1705,1913,Working Day
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,1,0,2,0,2,1,1,0.26608695652173914,0.25427391304347824,0.31434782608695655,0.29137391304347826,140,1675,1815,Working Day
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,1,0,2,0,3,1,1,0.31826086956521743,0.3162,0.42347826086956525,0.2517913043478261,218,1897,2115,Working Day
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,1,0,2,0,4,1,1,0.43583333333333335,0.4286583333333333,0.505,0.23010416666666667,259,2216,2475,Working Day
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,1,0,2,0,5,1,1,0.5216666666666666,0.5119833333333333,0.5166666666666667,0.264925,579,2348,2927,Working Day
